Epoch 1001: NMI 0.652, RI 0.733
Epoch 1001: NMI 0.833, RI 0.822
Epoch 2001: NMI 0.833, RI 0.822
Epoch 3001: NMI 0.833, RI 0.822
Epoch 4001: NMI 0.833, RI 0.822
Epoch 5001: NMI 0.833, RI 0.822
Epoch 6001: NMI 0.833, RI 0.822
Epoch 7001: NMI 0.833, RI 0.822
Epoch 8001: NMI 0.833, RI 0.822
Epoch 9001: NMI 0.833, RI 0.822
Epoch 10001: NMI 0.833, RI 0.822
Epoch 11001: NMI 0.833, RI 0.822
Epoch 12001: NMI 0.833, RI 0.822
Epoch 13001: NMI 0.833, RI 0.822
Epoch 14001: NMI 0.833, RI 0.822
Epoch 15001: NMI 0.833, RI 0.822
Epoch 16001: NMI 0.833, RI 0.822
Epoch 17001: NMI 0.833, RI 0.822
Epoch 18001: NMI 0.833, RI 0.822
Epoch 19001: NMI 0.833, RI 0.822
Epoch 20001: NMI 0.833, RI 0.822
Epoch 21001: NMI 0.833, RI 0.822
Epoch 22001: NMI 0.833, RI 0.822
Epoch 23001: NMI 0.833, RI 0.822
Epoch 24001: NMI 0.833, RI 0.822
Epoch 25001: NMI 0.833, RI 0.822
Epoch 26001: NMI 0.833, RI 0.822
Epoch 27001: NMI 0.833, RI 0.822
Epoch 28001: NMI 0.833, RI 0.822
Epoch 29001: NMI 0.833, RI 0.822
Epoch 30001: NMI 0.833, RI 0.822
